月份,市场,平台,渠道/自然,功能,进入人数,打勾人数,活跃人数,进入渗透率,打勾渗透率,进入排名,打勾排名
2026-01,墨西哥,Android,Organic,AI Expand,13.774193548387096,6.419354838709677,439.51612903225805,0.031339449541284405,0.014605504587155963,21,18
2026-01,墨西哥,Android,Organic,AI Image,23.838709677419356,3.4516129032258065,439.51612903225805,0.05423853211009175,0.007853211009174313,9,25
2026-01,墨西哥,Android,Organic,AI Repair,16.70967741935484,8.387096774193548,439.51612903225805,0.03801834862385321,0.01908256880733945,16,14
2026-01,墨西哥,Android,Organic,AI Replace,8.03225806451613,4.193548387096774,439.51612903225805,0.018275229357798167,0.009541284403669725,32,20
2026-01,墨西哥,Android,Organic,AI Retouch,47.96774193548387,21.774193548387096,439.51612903225805,0.10913761467889908,0.04954128440366973,5,4
2026-01,墨西哥,Android,Organic,AI Tattoo,7.612903225806452,2.2580645161290325,439.51612903225805,0.017321100917431193,0.005137614678899083,36,33
2026-01,墨西哥,Android,Organic,Acne,10.419354838709678,6.516129032258065,439.51612903225805,0.023706422018348626,0.014825688073394497,27,17
2026-01,墨西哥,Android,Organic,Adjust,22.0,9.096774193548388,439.51612903225805,0.050055045871559636,0.02069724770642202,11,13
2026-01,墨西哥,Android,Organic,Background,15.612903225806452,2.4193548387096775,439.51612903225805,0.035522935779816515,0.005504587155963303,18,30
2026-01,墨西哥,Android,Organic,Blur,11.387096774193548,6.193548387096774,439.51612903225805,0.025908256880733945,0.014091743119266056,23,19
2026-01,墨西哥,Android,Organic,Body,17.387096774193548,10.387096774193548,439.51612903225805,0.03955963302752294,0.02363302752293578,13,11
2026-01,墨西哥,Android,Organic,Bokeh,7.709677419354839,2.3548387096774195,439.51612903225805,0.017541284403669727,0.005357798165137615,35,32
2026-01,墨西哥,Android,Organic,Brighten,8.64516129032258,4.0,439.51612903225805,0.019669724770642202,0.009100917431192661,31,21
2026-01,墨西哥,Android,Organic,Concealer,10.612903225806452,3.7419354838709675,439.51612903225805,0.02414678899082569,0.008513761467889907,25,22
2026-01,墨西哥,Android,Organic,Contour,3.6129032258064515,1.6451612903225807,439.51612903225805,0.008220183486238533,0.003743119266055046,44,37
2026-01,墨西哥,Android,Organic,Crop,20.64516129032258,14.580645161290322,439.51612903225805,0.04697247706422018,0.033174311926605506,12,6
